,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
0,Tashi Cafe, Banjara Hills, Hyderabad,"North Indian, Pizza, Pasta, Italian, Chinese, Salad, Desserts, Beverages",2000.0,10.0,4.3,5.8,Regional Dining
1,Coffee Cup, Somajiguda, Hyderabad,"Cafe, Tea, Beverages, American, Pizza, Burger, Continental, Italian",950.0,10.0,4.2,6.5,Casual Dining
2,Ofen, Banjara Hills, Hyderabad,"Cafe, Coffee, Sandwich, Italian, Mexican, Pasta, Fast Food",1200.0,10.0,3.7,6.5,Casual Dining
3,Shanghai - Flavours of China Town, S P Road, Secunderabad,"Chinese, Asian",1000.0,15.0,4.3,8.6,Thematic Dining
4,Red Rhino, Hitech City, Hyderabad,"Asian, North Indian, Continental, European, Burger, Pizza, Desserts, Beverages",2400.0,10.0,4.5,12.7,Thematic Dining
5,Lifafa Cafe & Bistro, Uppal, Secunderabad,"Cafe, Chinese, Asian, Sandwich, Continental, Coffee, Shake, Desserts",1000.0,10.0,4.1,9.2,Casual Dining
6,Wild Goat, Madhapur, Hyderabad,"Cafe, Coffee, Continental, Asian, Pizza, Burger, Desserts, Italian",1800.0,10.0,4.4,12.1,Casual Dining
7,Sahib’s Barbeque By Ohri’s, Madhapur, Hyderabad,"North Indian, Awadhi, Hyderabadi, Desserts",2000.0,10.0,4.4,13.5,Regional Dining
8,Bakelore, Kondapur, Hyderabad,"Bakery, Desserts, Burger, Pizza, Cafe, Tea, Coffee, Beverages",650.0,20.0,3.3,17.5,Casual Dining
9,AnTeRa Kitchen And Bar, Jubilee Hills, Hyderabad,"South Indian, North Indian, Biryani, Chinese, Desserts, Beverages",1900.0,10.0,4.4,10.1,Regional Dining
10,Masterpiece," Preston Prime Mall,Gachibowli", Hyderabad,"South Indian, North Indian, Salad, Chinese, Italian, Middle Eastern, Momos, Desserts",3200.0,10.0,4.3,13.1,Regional Dining
11,Mamalola Penthouse Bar & Kitchen, Gandipet, Hyderabad,"Continental, Modern Indian, Asian, Pizza, Fast Food, Chinese, Lebanese, Sushi",1700.0,10.0,4.4,15.8,Thematic Dining
12,AnTeRa Courtyard, Financial District, Hyderabad,"South Indian, Kebab, Biryani, Desserts",1600.0,10.0,4.4,16.6,Regional Dining
13,ZYTHUM Brewing Co., Jubilee Hills, Hyderabad,"Continental, Pizza, North Indian, Asian, Desserts, Grilled Chicken, Pasta",2500.0,10.0,4.4,9.3,Thematic Dining
14,36 Downtown Brew Pub," Road 36, Jubilee Hills", Hyderabad,"Continental, Hyderabadi, Finger Food, Pizza, Beverages, Desserts",3000.0,20.0,4.3,11.2,Thematic Dining
15,Barbeque Holic, Kondapur, Hyderabad,"Chinese, Salad, Fast Food, North Indian, Desserts, Beverages, South Indian, Continental",1500.0,10.0,4.6,15.9,Thematic Dining
16,OKA, Jubilee Hills, Hyderabad,"Bar Food, Italian, Asian, Finger Food, North Indian, Continental, Coffee, Beverages",2000.0,10.0,4.3,9.9,Thematic Dining
17,Air Live," Sarath City Capital Mall, Kondapur", Hyderabad,"North Indian, Salad, Fast Food, Italian, Asian, Bar Food, Desserts, Beverages",2500.0,10.0,4.3,15.7,Regional Dining
18,Forge Breu - Hous, Jubilee Hills, Hyderabad,"Finger Food, Continental, North Indian, Italian, Desserts",2500.0,15.0,4.5,10.9,Thematic Dining
19,White Hart, Gachibowli, Hyderabad,"North Indian, Mughlai, Continental, Italian, Seafood, Asian, Fast Food, Desserts",1500.0,10.0,4.3,13.1,Regional Dining
20,7 Sisters, Kondapur, Hyderabad,"North Eastern, Sushi, Tibetan, Momos",1800.0,15.0,4.6,15.6,Regional Dining
21,Ukusa, Jubilee Hills, Hyderabad,"Cafe, Coffee, South Indian, Asian, Continental, Beverages",1000.0,15.0,3.9,9.9,Casual Dining
22,Amnesia Lounge Bar," Road 36, Jubilee Hills", Hyderabad,"Bar Food, American, Pasta, Street Food, Pizza, Asian, Beverages, Desserts",1800.0,25.0,4.2,10.3,Thematic Dining
23,Heart Cup Coffee, Kondapur, Hyderabad,"Continental, Asian, North Indian, Italian, Pizza, Street Food, Beverages",2000.0,20.0,4.3,15.5,Thematic Dining
24,Zindagi Sky Bar & Kitchen, Jubilee Hills, Hyderabad,"North Indian, Chinese, Japanese, Pizza, Desserts, Beverages, Italian",3100.0,10.0,4.3,11.2,Regional Dining
25,Insomnia," Road 36, Jubilee Hills", Hyderabad,"North Indian, Italian, Chinese, Finger Food, Continental, Beverages, Bar Food",1900.0,15.0,4.2,10.3,Regional Dining
26,Renao Cafe & Bistro, Madhapur, Hyderabad,"Cafe, Continental, Pasta, North Indian, Asian, Pizza",1400.0,15.0,4.4,13.6,Casual Dining
27,Dhaba - Estd 1986 Delhi, Kondapur, Hyderabad,"North Indian, Mughlai, Kebab, Paan, Desserts, Beverages",1650.0,10.0,4.6,15.0,Regional Dining
28,Raise The Bar, Manikonda, Hyderabad,"Finger Food, Chinese, Mughlai, North Indian, Fast Food, Beverages",1900.0,40.0,4.3,12.2,Thematic Dining
29,Aura Cafe & Infusion Bar, Jubilee Hills, Hyderabad,"Coffee, Italian, Chinese, Oriental, Continental, Bar Food, Beverages, Desserts",2000.0,10.0,4.5,10.3,Casual Dining
30,Firestone Grill, Kukatpally, Hyderabad,"BBQ, North Indian, South Indian, Desserts, Continental, Italian",1600.0,10.0,4.3,16.4,Specialty Dining
31,Frat House," SLN Terminus, Gachibowli", Hyderabad,"Continental, Asian, Chinese, North Indian, Italian, Biryani, Bar Food",2500.0,10.0,4.3,15.4,Thematic Dining
32,Hard Rock Cafe, Hitech City, Hyderabad,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages",2750.0,15.0,4.6,12.4,Thematic Dining
33,Nouba - Bar & Kitchen, Medchal Road, Hyderabad,"Continental, Asian, Modern Indian, Finger Food, Bar Food, Chinese, Pasta, Pizza",1500.0,10.0,4.3,16.5,Thematic Dining
68,Echoes, Madhapur, Hyderabad,"Pizza, Coffee, Momos, Shake, Burger, Pasta, Chinese, North Indian",1100.0,15.0,4.7,12.0,Casual Dining
69,Jonathan's Kitchen," Fairfield by Marriot, Gachibowli", Hyderabad,"North Indian, Japanese, Italian, Sushi, Chinese, Continental, Beverages, Desserts",3600.0,15.0,4.3,15.0,Regional Dining
70,Anthe Kitchen, Hitech City, Hyderabad,"Biryani, South Indian, North Indian, Andhra, Desserts, Kebab, Chinese, Hyderabadi",1500.0,10.0,4.2,13.5,Regional Dining
71,Luno - Lounge Bar & Kitchen, Financial District, Hyderabad,"North Indian, Chinese, Sushi, Pizza, Fast Food, Bar Food, Asian, Desserts",1100.0,10.0,4.3,16.4,Regional Dining
72,The Globe Grub, Gachibowli, Hyderabad,"North Indian, Chinese, Asian, Fast Food, Street Food, Desserts",1700.0,10.0,4.3,13.8,Regional Dining
73,Chiguru, Jubilee Hills, Hyderabad,"South Indian, North Indian, Chinese, Biryani, Desserts, Beverages",1200.0,10.0,4.3,11.4,Regional Dining
74,Jathara, Jubilee Hills, Hyderabad,"South Indian, North Indian, Biryani, Chinese, Seafood, Desserts, Beverages",1500.0,10.0,4.2,9.9,Regional Dining
75,Nataka Global Kitchen And Cafe, Jubilee Hills, Hyderabad,"Continental, Asian, Thai, Andhra, Italian, Chinese, Momos, Desserts",1500.0,10.0,4.3,10.3,Thematic Dining
76,Tales of Telugu, Madhapur, Hyderabad,South Indian,1500.0,10.0,4.1,12.6,Regional Dining
77,Shiso Cafe, Madhapur, Hyderabad,"Cafe, Coffee, Continental",800.0,10.0,4.3,13.9,Casual Dining
78,Cu2 Brewhouse, Financial District, Hyderabad,"North Indian, Italian, Chinese, Asian, Continental, Mughlai, Pizza",2000.0,10.0,4.2,15.1,Regional Dining
79,Anaga  Spice Kitchen & Bar, Jubilee Hills, Hyderabad,"Andhra, North Indian, Biryani, Desserts, South Indian",1200.0,10.0,4.4,10.0,Regional Dining
80,Ohri's Jiva, Begumpet, Hyderabad,"North Indian, Rajasthani, South Indian, Chinese, Desserts",1300.0,10.0,4.3,8.0,Regional Dining
81,President Dhaba, Madhapur, Hyderabad,"North Indian, Chinese, Mughlai, Seafood, Desserts, Beverages, Biryani",1500.0,15.0,3.9,13.4,Regional Dining
82,Mamagoto, Kondapur, Hyderabad,"Asian, Japanese, Thai, Salad, Desserts",1500.0,10.0,4.5,15.0,Thematic Dining
83,Food Exchange - Novotel Hyderabad Convention Centre," Novotel Hyderabad Convention Centre, Hitech City", Hyderabad,"North Indian, Asian, American, Chinese, Italian, Desserts",4000.0,15.0,4.1,16.2,Regional Dining
84,PaPaYa  - Modern Asian Bistro, Film Nagar, Hyderabad,"Bar Food, Asian, Korean, Chinese, Sushi, Mexican, Seafood, Desserts",2000.0,10.0,4.4,9.1,Thematic Dining
85,The Fisherman's Wharf, Financial District, Hyderabad,"Chinese, Salad, Fast Food, Seafood, Asian, Continental, Desserts",1800.0,10.0,4.3,16.1,Thematic Dining
86,Aqua - The Park," The Park, Somajiguda", Hyderabad,"North Indian, Continental, Fast Food, Finger Food, Desserts, Beverages",2500.0,15.0,4.3,6.6,Regional Dining
87,Post Card - Global Tapas Bar, Madhapur, Hyderabad,"Bar Food, North Indian, Modern Indian, Asian, Finger Food, Pizza, Continental, Pasta",2500.0,10.0,4.4,12.8,Thematic Dining
88,Krishnapatnam," Road 36, Jubilee Hills", Hyderabad,"Andhra, Chinese, North Indian, Seafood, Biryani, Desserts, Beverages",1300.0,10.0,4.3,9.9,Regional Dining
89,Lord Of The Drinks, Jubilee Hills, Hyderabad,"North Indian, Asian, Bar Food, Sushi, Italian, Continental, BBQ, Beverages",2500.0,15.0,4.3,10.5,Regional Dining
90,Pandaga, Kondapur, Hyderabad,"South Indian, Chinese, North Indian, Andhra, Fast Food, Biryani, Italian, Hyderabadi",1000.0,10.0,4.3,15.5,Regional Dining
91,Amnesia Sky Bar," Inorbit Mall, Hitech City", Hyderabad,"Finger Food, Italian, Sushi, Fast Food, Oriental, Biryani, Desserts, Beverages",2500.0,15.0,4.2,12.1,Thematic Dining
92,Verandah - The Park, Somajiguda, Hyderabad,"North Indian, Continental, Chinese, Biryani, Oriental, Desserts, Beverages",3000.0,10.0,4.3,6.6,Regional Dining
93,The Neighbourhood, Himayath Nagar, Hyderabad,"North Indian, Continental, Oriental, Fast Food, Bar Food",2000.0,10.0,4.3,4.0,Regional Dining
94,A19 Klub & Kitchen," Sarath City Capital Mall, Kondapur", Hyderabad,"Bar Food, Pizza, Fast Food, Finger Food, Biryani, Chinese, North Indian, Pasta",2000.0,20.0,4.3,14.9,Thematic Dining
95,Exotica," 12th Square Building, Banjara Hills", Hyderabad,"North Indian, Biryani, Kebab, Chinese, Oriental, Desserts, Shake, Beverages",2500.0,15.0,4.5,6.4,Regional Dining
96,Teluguness Restaurant, Kompally, Hyderabad,"Andhra, South Indian, North Indian, Chinese, Mughlai, Biryani",1000.0,10.0,4.2,16.2,Regional Dining
160,Flechazo, Kothapet, Hyderabad,"Mediterranean, Salad, Fast Food, North Indian, North Eastern, Chinese, Pizza, Pasta",1600.0,10.0,4.3,7.3,Fine Dining
161,Nicos Cafe Lounge Bar, Jubilee Hills, Hyderabad,"North Indian, Continental, Finger Food, Pizza, Fast Food, Biryani, Desserts",1400.0,10.0,4.2,11.5,Regional Dining
